ID,name,genre,country,popularityScore,bio,createdAt,createdBy,modifiedAt,modifiedBy
a1,Nova Pulse,Techno,BE,88,"High-energy techno act known for hypnotic festival sets.",2025-01-10T09:00:00Z,admin,2025-01-12T14:30:00Z,admin
a2,Skyline DJs,House,NL,76,"House duo bringing uplifting vibes and melodic grooves.",2025-01-10T09:05:00Z,admin,2025-01-11T16:10:00Z,admin
a3,Neon Riot,EDM,DE,92,"Big-room EDM act famous for explosive drops and visuals.",2025-01-10T09:10:00Z,admin,2025-01-13T18:45:00Z,admin
a4,Luna & Co,Pop,US,69,"Pop act blending catchy hooks with electronic elements.",2025-01-10T09:15:00Z,admin,2025-01-12T11:20:00Z,admin
a5,Bass Alchemist,Hardstyle,BE,84,"Hardstyle producer with relentless kicks and dark energy.",2025-01-10T09:20:00Z,admin,2025-01-14T20:00:00Z,admin
a6,Echo Valley,Indie,UK,72,"Indie band known for atmospheric soundscapes.",2025-01-10T09:25:00Z,admin,2025-01-12T15:40:00Z,admin
a7,Midnight Signal,Techno,DE,90,"Driving industrial techno with hypnotic rhythms.",2025-01-10T09:30:00Z,admin,2025-01-13T22:10:00Z,admin
a8,Sunset Collective,House,FR,78,"Chill house collective perfect for sunset stages.",2025-01-10T09:35:00Z,admin,2025-01-12T17:00:00Z,admin
a9,Voltage X,EDM,US,85,"Energetic EDM act focused on crowd interaction.",2025-01-10T09:40:00Z,admin,2025-01-14T19:30:00Z,admin
a10,Crystal Bloom,Pop,SE,74,"Scandinavian pop artist with dreamy vocals.",2025-01-10T09:45:00Z,admin,2025-01-13T10:50:00Z,admin
